SPlusCode,Fullname,Store,Region,ActivityCode,IsLearned,SecondTest,Score
CE.DMX6585,6585,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX16673,16673,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX37718,37718,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX37725,37725,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX37726,37726,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX37729,37729,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX38126,38126,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX42129,42129,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX42131,42131,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX43718,43718,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX49299,49299,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX49731,49731,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX59138,59138,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX66884,66884,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX90699,90699,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX114507,114507,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX134561,134561,ĐML_DBI_DBP - Trần Đăng Ninh (Điện Biên),Miền Bắc 1,,,0,0
CE.DMX19843,19843,ĐML_HBI_HBI - 724 Cù Chính Lan,Miền Bắc 1,,,0,0
CE.DMX23872,23872,ĐML_HBI_HBI - 724 Cù Chính Lan,Miền Bắc 1,,,0,0
CE.DMX34093,34093,ĐML_HBI_HBI - 724 Cù Chính Lan,Miền Bắc 1,,,0,0
CE.DMX34963,34963,ĐML_HBI_HBI - 724 Cù Chính Lan,Miền Bắc 1,,,0,0
CE.DMX39820,39820,ĐML_HBI_HBI - 724 Cù Chính Lan,Miền Bắc 1,,,0,0
CE.DMX40657,40657,ĐML_HBI_HBI - 724 Cù Chính Lan,Miền Bắc 1,,,0,0
CE.DMX48269,48269,ĐML_HBI_HBI - 724 Cù Chính Lan,Miền Bắc 1,,,0,0
CE.DMX50657,50657,ĐML_HBI_HBI - 724 Cù Chính Lan,Miền Bắc 1,,,0,0
CE.DMX137516,137516,ĐML_HBI_HBI - 724 Cù Chính Lan,Miền Bắc 1,,,0,0
CE.DMX23146,23146,ĐML_HNA_DTI - Đồng Văn,Miền Bắc 1,,,0,0
CE.DMX25111,25111,ĐML_HNA_DTI - Đồng Văn,Miền Bắc 1,,,0,0
CE.DMX51845,51845,ĐML_HNA_DTI - Đồng Văn,Miền Bắc 1,,,0,0
CE.DMX55047,55047,ĐML_HNA_DTI - Đồng Văn,Miền Bắc 1,,,0,0
CE.DMX59830,59830,ĐML_HNA_DTI - Đồng Văn,Miền Bắc 1,,,0,0
CE.DMX60611,60611,ĐML_HNA_DTI - Đồng Văn,Miền Bắc 1,,,0,0
CE.DMX78562,78562,ĐML_HNA_DTI - Đồng Văn,Miền Bắc 1,,,0,0
CE.DMX95269,95269,ĐML_HNA_DTI - Đồng Văn,Miền Bắc 1,,,0,0
CE.DMX133265,133265,ĐML_HNA_DTI - Đồng Văn,Miền Bắc 1,,,0,0
CE.DMX35863,35863,ĐML_HNA_DTI - Đồng Văn,Miền Bắc 1,,,0,0
CE.DMX25119,25119,ĐML_HNA_PLY - 222 Lê Hoàn,Miền Bắc 1,,,0,0
CE.DMX30124,30124,ĐML_HNA_PLY - 222 Lê Hoàn,Miền Bắc 1,,,0,0
CE.DMX41919,41919,ĐML_HNA_PLY - 222 Lê Hoàn,Miền Bắc 1,,,0,0
CE.DMX48274,48274,ĐML_HNA_PLY - 222 Lê Hoàn,Miền Bắc 1,,,0,0
CE.DMX54026,54026,ĐML_HNA_PLY - 222 Lê Hoàn,Miền Bắc 1,,,0,0
CE.DMX54277,54277,ĐML_HNA_PLY - 222 Lê Hoàn,Miền Bắc 1,,,0,0
CE.DMX62040,62040,ĐML_HNA_PLY - 222 Lê Hoàn,Miền Bắc 1,,,0,0
CE.DMX98158,98158,ĐML_HNA_PLY - 222 Lê Hoàn,Miền Bắc 1,,,0,0
CE.DMX8167,8167,ĐML_HNA_PLY - Thanh Châu,Miền Bắc 1,,,0,0
CE.DMX24513,24513,ĐML_HNA_PLY - Thanh Châu,Miền Bắc 1,,,0,0
CE.DMX26172,26172,ĐML_HNA_PLY - Thanh Châu,Miền Bắc 1,,,0,0
ce.dmx30106,30106,ĐML_HNA_PLY - Thanh Châu,Miền Bắc 1,,,0,0
CE.DMX44494,44494,ĐML_HNA_PLY - Thanh Châu,Miền Bắc 1,,,0,0
CE.DMX62038,62038,ĐML_HNA_PLY - Thanh Châu,Miền Bắc 1,,,0,0
CE.DMX62039,62039,ĐML_HNA_PLY - Thanh Châu,Miền Bắc 1,,,0,0
CE.DMX62163,62163,ĐML_HNA_PLY - Thanh Châu,Miền Bắc 1,,,0,0
CE.DMX96961,96961,ĐML_HNA_PLY - Thanh Châu,Miền Bắc 1,,,0,0
CE.DMX19958,19958,ĐML_LCA_LCA - Trần Hưng Đạo,Miền Bắc 1,,,0,0
